,train_avg_loss,valid_avg_loss
320,0.1357825,0.12912786
352,0.13460101,0.13078368
384,0.13199636,0.11612807
416,0.13140765,0.13344117
448,0.13304648,0.1255072
480,0.13554123,0.123936
512,0.12887019,0.13792771
544,0.13222933,0.14244607
576,0.13242666,0.12589249
608,0.13289694,0.1377717
640,0.12980987,0.13084438
672,0.13400994,0.12026596
704,0.1254968,0.12982899
736,0.12322388,0.1239929
768,0.11930539,0.10938678
800,0.11366572,0.10235059
832,0.10657139,0.106535755
864,0.10088239,0.09022404
896,0.091419004,0.0825297
928,0.0881563,0.07879922
960,0.080208205,0.06973366
992,0.07610397,0.0728519
1024,0.07046018,0.0698206
1056,0.06572397,0.068374604
1088,0.061450023,0.06485525
1120,0.058888912,0.05707749
1152,0.05585297,0.054300465
1184,0.052307267,0.053887893
1216,0.04997094,0.047137987
1248,0.047025032,0.044413563
1280,0.04497661,0.044552695
1312,0.042878788,0.042758375
1344,0.041056953,0.039913557
1376,0.039834715,0.038066685
1408,0.037556104,0.036475576
1440,0.035947006,0.03392548
1472,0.03451211,0.033824526
1504,0.033750333,0.032875724
1536,0.032128595,0.031692162
1568,0.03165079,0.031163275
1600,0.030749476,0.031585783
1632,0.029827256,0.029299324
1664,0.029175106,0.02730533
1696,0.027826343,0.029251423
1728,0.02689737,0.025423283
1760,0.025751378,0.02467114
1792,0.025222665,0.024841737
1824,0.024611467,0.025074959
1856,0.023922142,0.023038836
1888,0.02404615,0.023180392
1920,0.022631506,0.02280746
1952,0.022478307,0.020414596
1984,0.021197788,0.01986688
2016,0.02108692,0.020589447
2048,0.020831475,0.021205928
2080,0.02043735,0.021250172
2112,0.01991801,0.018952796
2144,0.019655254,0.018923365
2176,0.01888631,0.018133443
2208,0.018295785,0.018403277
2240,0.017948145,0.018498685
2272,0.01759579,0.017453564
2304,0.01712503,0.017030012
2336,0.017005287,0.015620366
2368,0.017164687,0.017066982
2400,0.016575795,0.016207015
2432,0.01611955,0.016177608
2464,0.015688196,0.015793826
2496,0.01542633,0.014935471
2528,0.015187013,0.014564201
2560,0.014817035,0.014697288
2592,0.014543295,0.013616605
2624,0.014198139,0.013610142
2656,0.014094417,0.013851205
2688,0.0135972155,0.0126654
2720,0.013192588,0.012321521
2752,0.012983343,0.012722706
2784,0.012669155,0.012929034
2816,0.012288924,0.012925449
2848,0.011748699,0.011420569
2880,0.011415922,0.011188191
2912,0.01082308,0.010450392
2944,0.010627265,0.01062217
2976,0.010411525,0.010833822
3008,0.01008288,0.010076051
3040,0.009541411,0.009503774
3072,0.009194778,0.008580931
3104,0.008708453,0.008513685
3136,0.008461424,0.008305508
3168,0.008192571,0.008197919
3200,0.007985587,0.007888179
3232,0.0077137575,0.0074416073
3264,0.007255873,0.0072282753
3296,0.006957075,0.0066721514
3328,0.006600053,0.00669065
3360,0.0066839703,0.0065656505
3392,0.0064485604,0.006794189
3424,0.006073384,0.0060419776
3456,0.005795865,0.0055930316
3488,0.005514283,0.0052736104
3520,0.0056720907,0.0054994263
3552,0.0054041683,0.0052003795
3584,0.005028434,0.0046901116
3616,0.004882126,0.004893461
3648,0.0049183453,0.0048587895
3680,0.004860605,0.004874092
3712,0.0046255663,0.0044882083
3744,0.0045588887,0.0045281732
3776,0.0043463195,0.0043945266
3808,0.0042872136,0.0042598275
3840,0.004140377,0.004005437
3872,0.0041471883,0.0039787334
3904,0.0041133272,0.0043006684
3936,0.003948919,0.0038594888
3968,0.0038337405,0.0037768655
4000,0.0038492058,0.0037171387
4032,0.003867627,0.0038685105
4064,0.003716413,0.0035659294
4096,0.0035394616,0.0034054127
4128,0.0035089725,0.0035408002
4160,0.003514309,0.0034107466
4192,0.0035912164,0.00360812
4224,0.003421732,0.0032549587
4256,0.003333342,0.00356969
4288,0.0034112665,0.0033151456
4320,0.003446636,0.003346003
4352,0.0033518753,0.0032589727
4384,0.003196242,0.0030879527
4416,0.0031135145,0.003114236
4448,0.0031451695,0.0031621295
4480,0.003136099,0.0031127832
4512,0.003038595,0.0032204494
4544,0.0030702185,0.0033836127
4576,0.0029996845,0.0029219245
4608,0.0029615276,0.0028083008
4640,0.0028666505,0.0030268566
4672,0.0028054856,0.0026597974
4704,0.003059065,0.0030598154
4736,0.0031576834,0.0028532012
4768,0.0029443088,0.0028036623
4800,0.002803877,0.0026016268
4832,0.0027456437,0.0026384066
4864,0.002685125,0.0026109703
4896,0.002676576,0.0027647265
4928,0.002738337,0.0026652731
4960,0.0027658804,0.002583703
4992,0.0027143059,0.0028190317
5024,0.0027273162,0.0026691896
5056,0.0027484943,0.0026886915
5088,0.002733803,0.0025152054
5120,0.0027712167,0.002595169
5152,0.0025602723,0.0023630008
5184,0.0024430647,0.0023856915
5216,0.0023792095,0.0023484235
5248,0.0023647584,0.0023248382
5280,0.0023752823,0.0022313101
5312,0.0023924771,0.0024690167
5344,0.002544488,0.0026874142
5376,0.0025071446,0.0024309193
5408,0.0024799437,0.0022013027
5440,0.002394433,0.002266207
5472,0.0024057785,0.0027781692
5504,0.0023846168,0.002285516
5536,0.002373106,0.0023466237
5568,0.0022865399,0.0022071537
5600,0.002266045,0.0021350596
5632,0.0021958037,0.002313959
5664,0.002418571,0.0023432013
5696,0.0025580935,0.0024917382
5728,0.0023963028,0.0022896265
5760,0.0023981668,0.0024441208
5792,0.0023585341,0.0024297405
5824,0.0022639986,0.0021673818
5856,0.00224299,0.0021564378
5888,0.002165784,0.0021806508
5920,0.0020547765,0.0019234397
5952,0.0020634453,0.0021851012
5984,0.0021770732,0.0020500256
6016,0.0022732504,0.0021235081
6048,0.002262813,0.0023416136
6080,0.0023253507,0.0023938557
6112,0.0022705,0.0022320542
6144,0.0021153602,0.0019932464
6176,0.002178767,0.0020849905
6208,0.0021820206,0.00219009
6240,0.0021783959,0.0020597125
6272,0.0020761886,0.002185916
6304,0.002101632,0.0020174147
6336,0.0019690334,0.0020781457
6368,0.0019984865,0.0021415032
6400,0.0022840293,0.0024235588
6432,0.0023566857,0.0021902376
6464,0.0021127658,0.0020702048
