Step,Action,Price,Cash,BTC,BTC_Value,Total
2,1,57791.40,75336.98,16,924662.38,999999.35
3,1,57815.21,75336.98,16,925043.44,1000380.42
4,1,57814.52,75336.98,16,925032.38,1000369.35
5,1,57804.07,75336.98,16,924865.06,1000202.04
6,1,57815.04,75336.98,16,925040.56,1000377.54
7,1,57815.80,75336.98,16,925052.75,1000389.73
8,1,57829.80,75336.98,16,925276.88,1000613.85
9,1,57837.75,75336.98,16,925404.06,1000741.04
10,1,57839.09,75336.98,16,925425.44,1000762.42
11,1,57843.96,75336.98,16,925503.44,1000840.42
12,1,57820.52,75336.98,16,925128.25,1000465.23
13,1,57837.75,75336.98,16,925404.06,1000741.04
14,1,57836.12,75336.98,16,925378.00,1000714.98
15,1,57837.75,75336.98,16,925404.06,1000741.04
16,1,57850.00,75336.98,16,925599.94,1000936.92
17,1,57848.11,75336.98,16,925569.81,1000906.79
18,1,57867.09,75336.98,16,925873.50,1001210.48
19,1,57870.34,75336.98,16,925925.50,1001262.48
20,1,57876.70,75336.98,16,926027.25,1001364.23
21,1,57882.29,75336.98,16,926116.56,1001453.54
22,1,57882.29,75336.98,16,926116.56,1001453.54
23,1,57882.29,75336.98,16,926116.56,1001453.54
24,1,57883.32,75336.98,16,926133.19,1001470.17
25,1,57889.38,75336.98,16,926230.00,1001566.98
26,1,57891.39,75336.98,16,926262.31,1001599.29
27,1,57893.57,75336.98,16,926297.06,1001634.04
28,1,57898.25,75336.98,16,926372.06,1001709.04
29,1,57891.39,75336.98,16,926262.19,1001599.17
30,1,57895.86,75336.98,16,926333.81,1001670.79
31,1,57890.36,75336.98,16,926245.81,1001582.79
32,1,57891.59,75336.98,16,926265.38,1001602.35
33,1,57882.29,75336.98,16,926116.56,1001453.54
34,1,57870.45,75336.98,16,925927.12,1001264.10
35,1,57870.45,75336.98,16,925927.12,1001264.10
36,1,57855.20,75336.98,16,925683.25,1001020.23
37,1,57843.84,75336.98,16,925501.38,1000838.35
38,1,57845.59,75336.98,16,925529.38,1000866.35
39,1,57843.84,75336.98,16,925501.50,1000838.48
40,1,57843.84,75336.98,16,925501.50,1000838.48
41,1,57843.84,75336.98,16,925501.38,1000838.35
42,1,57868.71,75336.98,16,925899.44,1001236.42
43,1,57871.95,75336.98,16,925951.19,1001288.17
44,1,57886.55,75336.98,16,926184.88,1001521.85
45,1,57875.00,75336.98,16,926000.06,1001337.04
46,-1,57884.82,1927650.06,-16,-926157.19,1001492.87
47,1,57884.88,75332.76,16,926158.00,1001490.76
48,1,57886.55,75332.76,16,926184.88,1001517.63
49,1,57875.00,75332.76,16,926000.06,1001332.82
50,1,57881.52,75332.76,16,926104.38,1001437.13
51,1,57881.23,75332.76,16,926099.75,1001432.51
52,1,57879.88,75332.76,16,926078.00,1001410.76
53,1,57877.84,75332.76,16,926045.38,1001378.13
54,1,57876.84,75332.76,16,926029.38,1001362.13
55,1,57880.59,75332.76,16,926089.50,1001422.26
56,1,57876.98,75332.76,16,926031.62,1001364.38
57,1,57875.00,75332.76,16,926000.06,1001332.82
58,1,57875.00,75332.76,16,926000.06,1001332.82
59,1,57875.00,75332.76,16,926000.06,1001332.82
60,1,57875.00,75332.76,16,926000.06,1001332.82
61,1,57860.00,75332.76,16,925760.06,1001092.82
62,1,57860.00,75332.76,16,925760.06,1001092.82
63,1,57860.00,75332.76,16,925760.06,1001092.82
64,1,57860.00,75332.76,16,925760.06,1001092.82
65,1,57860.00,75332.76,16,925760.06,1001092.82
66,1,57860.00,75332.76,16,925760.06,1001092.82
67,1,57860.09,75332.76,16,925761.38,1001094.13
68,-1,57828.41,1925840.46,-16,-925254.50,1000585.96
69,1,57828.41,75330.17,16,925254.50,1000584.67
70,1,57821.82,75330.17,16,925149.06,1000479.23
71,1,57819.98,75330.17,16,925119.75,1000449.92
72,-1,57821.54,1925618.00,-16,-925144.56,1000473.44
73,-1,57824.84,1925618.00,-16,-925197.50,1000420.50
74,1,57824.84,75221.70,16,925197.50,1000419.20
75,1,57824.84,75221.70,16,925197.50,1000419.20
76,1,57824.84,75221.70,16,925197.50,1000419.20
77,1,57856.50,75221.70,16,925704.06,1000925.77
78,1,57863.15,75221.70,16,925810.38,1001032.08
79,1,57868.64,75221.70,16,925898.31,1001120.02
80,1,57868.64,75221.70,16,925898.31,1001120.02
81,1,57868.64,75221.70,16,925898.31,1001120.02
82,1,57868.64,75221.70,16,925898.31,1001120.02
83,1,57868.64,75221.70,16,925898.31,1001120.02
84,1,57868.64,75221.70,16,925898.31,1001120.02
85,1,57868.64,75221.70,16,925898.31,1001120.02
86,1,57870.25,75221.70,16,925924.06,1001145.77
87,1,57870.25,75221.70,16,925924.06,1001145.77
88,1,57863.70,75221.70,16,925819.25,1001040.95
89,1,57863.70,75221.70,16,925819.25,1001040.95
90,1,57863.70,75221.70,16,925819.12,1001040.83
91,1,57858.23,75221.70,16,925731.75,1000953.45
92,1,57846.88,75221.70,16,925550.00,1000771.70
93,1,57834.09,75221.70,16,925345.50,1000567.20
94,1,57834.09,75221.70,16,925345.50,1000567.20
95,1,57834.09,75221.70,16,925345.50,1000567.20
96,1,57834.20,75221.70,16,925347.12,1000568.83
97,1,57843.16,75221.70,16,925490.62,1000712.33
98,1,57823.52,75221.70,16,925176.38,1000398.08
99,1,57800.00,75221.70,16,924800.06,1000021.77
100,1,57821.00,75221.70,16,925135.94,1000357.64
